epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1656,1.88046,8.50578,0.47935,1.86365,1.90946,0.55046,0.47023,0.50531,0.1891,0.0141,0.00774,0.0003,5e-05,2.23042,9.41506,0.30614,2.35072,2.16609,0.000665817,0.000665817,0.000665817
2,134.735,1.75899,7.62992,0.37448,1.66293,1.81323,0.47546,0.40781,0.413,0.16671,0.04693,0.02357,0.00224,0.00026,2.24053,8.97761,0.2902,2.55266,2.11008,0.00126653,0.00126653,0.00126653
3,193.963,1.71536,7.38158,0.36445,1.6183,1.78378,0.65351,0.51502,0.5894,0.23171,0.16528,0.06368,0.01908,0.00255,2.12298,8.65061,0.25073,1.99323,2.05171,0.00180123,0.00180123,0.00180123
4,252.896,1.66396,7.162,0.35205,1.54068,1.73942,0.68705,0.54848,0.63464,0.27491,0.09831,0.04389,0.00829,0.00106,2.00277,8.61708,0.29496,1.70996,1.93811,0.001703,0.001703,0.001703
